######### Noise #########
Dog - 34
Human_noise - 1598
Human_vocal - 1400
Mechanical - 137
MotorvehicleEngine - 237
Noise - 683
Plane - 713
Siren - 54
Thunderstorm - 133
Train - 118

######### Bird #########
Abroscopus-superciliaris - 118
Alcedo-atthis - 901
Alophoixus-pallidus - 75
Anthus-hodgsoni - 811
Apus-cooki - 9
Bambusicola-fytchii - 17
Blythipicus-pyrrhotis - 153
Cacomantis-merulinus - 223
Cacomantis-sonneratii - 171
Centropus-bengalensis - 97
Centropus-sinensis - 252
Ceryle-rudis - 179
Chrysococcyx-maculatus - 10
Chrysocolaptes-guttacristatus - 112
Copsychus-malabaricus - 10
Coracias-benghalensis - 30
Culicicapa-ceylonensis - 317
Cyornis-whitei - 125
Dicrurus-leucophaeus - 192
Dicrurus-remifer - 95
Dinopium-javanense - 51
Erpornis-zantholeuca - 78
Eudynamys-scolopaceus - 395
Eurystomus-orientalis - 109
Gallus-gallus - 173
Glaucidium-cuculoides - 178
Halcyon-smyrnensis - 265
Harpactes-erythrocephalus - 65
Harpactes-oreskios - 101
Hierococcyx-sparverioides - 145
Hirundo-rustica - 1775
Hypothymis-azurea - 285
Hypsipetes-leucocephalus - 227
Ixos-mcclellandii - 114
Lanius-Schach - 0
Merops-leschenaulti - 49
Merops-orientalis - 5
Myiomela-leucura - 89
Nyctyornis-athertoni - 39
Parus-minor - 419
Pericrocotus-speciosus - 140
Phaenicophaeus-tristis - 25
Phoenicurus-auroreus - 0
Phyllergates-cucullatus - 296
Phylloscopus-claudiae - 111
Phylloscopus-humei - 743
Phylloscopus-inornatus - 914
Phylloscopus-omeiensis - 70
Phylloscopus-ricketti - 20
Phylloscopus-tephrocephalus - 111
Picumnus-innominatus - 70
Psilopogon-asiaticus - 168
Psilopogon-franklinii - 78
Psilopogon-haemacephalus - 185
Psilopogon-lineatus - 162
Psilopogon-virens - 208
Pycnonotus-aurigaster - 137
Saxicola-stejnegeri - 43
Sitta-frontalis - 65
Spilopelia-chinensis - 251
Surniculus-lugubris - 167
Turnix-suscitator - 19
Turnix-tanki - 10
Upupa-epops - 656
Urosphena-squameiceps 100
Yungipicus-canicapillus - 95

######### Insect #########
Acheta-domesticus - 28
Conocephalus-fuscus - 78
Eumodicogryllus-bordigalensis - 24
Galangal-abeculata - 34
Gryllus-bimaculatus - 20
Oecanthus-pellucens - 38
Phaneroptera-falcata - 32
Phaneroptera-nana - 28
Platypleura-cfcatenata - 25
Platypleura-plumosa - 24
Platypleura-sp10 - 15
Platypleura-sp12cfhirtipennis - 9
Platypleura-sp13 - 12
Ruspolia-nitidula - 9
